Wall time,Step,Value
1618733456.49106,0,0.202606663107872
1618733509.33962,1,0.026386950165033
1618733562.36655,2,0.055201664566994
1618733615.33565,3,0.088901907205582
1618733668.54895,4,0.017676003277302
1618733721.81157,5,0.050017915666103
1618733775.46447,6,0.018244359642267
1618733829.00493,7,0.02057171985507
1618733882.42816,8,0.014928088523448
1618733935.67169,9,0.019850669428706
1618733988.94327,10,0.020095890387893
1618734042.5556,11,0.018926503136754
1618734095.87974,12,0.023515017703176
1618734149.41424,13,0.02402126044035
1618734202.7136,14,0.023878728970885
1618734256.18811,15,0.022347711026669
1618734309.20254,16,0.019307440146804
1618734362.57543,17,0.020390944555402
1618734415.76047,18,0.017096783965826
1618734469.12073,19,0.021850949153304
